term,idx,tf,df
oc,28885,1,1
casionally,6144,1,1
cream reduce,8910,1,1
line skin,23895,1,1
skin peel,37522,1,1
peel first,30612,1,1
first usie,16227,1,1
usie oc,44453,1,1
oc casionally,28886,1,1
casionally would,6145,1,1
would use,46737,1,1
would peel,46679,1,1
peel line,30614,1,1
reduce also,34017,1,1
also dry,1981,1,1
dry blemish,12160,1,1
xl,46869,1,1
unnerved,44000,1,1
majorly,24858,1,1
uninterested,43954,1,1
rumor,35761,1,1
diffence,10709,1,1
wellbutrin xl,45757,1,1
xl make,46870,1,1
real difference,33616,1,1
difference life,10732,1,1
life tendency,23579,1,1
tendency get,41537,1,1
get unnerved,17615,1,1
unnerved anxious,44001,1,1
anxious small,2772,1,1
thing since,41892,1,1
wellbutrin husband,45744,1,1
difference disposition,10722,1,1
disposition majorly,11153,1,1
majorly depressed,24859,1,1
depressed person,10196,1,1
person mildly,30912,1,1
mildly depressed,26260,1,1
depressed fatigue,10186,1,1
become uninterested,4388,1,1
uninterested activity,43955,1,1
activity use,923,1,1
use enjoy,44248,1,1
enjoy wellbutrin,13664,1,1
wellbutrin definitely,45736,1,1
happy interested,18791,1,1
interested life,21752,1,1
life far,23489,1,1
far rumor,15257,1,1
rumor go,35762,1,1
wellbutrin enhance,45741,1,1
enhance sexual,13642,1,1
desire notice,10443,1,1
notice diffence,28633,1,1
diffence regard,10710,1,1
meloxicam,25774,1,1
meloxicam prescribe,25775,1,1
prescribe vioxx,31907,1,1
vioxx take,44747,1,1
take market,41081,1,1
market beneficial,25186,1,1
beneficial relieve,4658,1,1
pain pinched,30028,1,1
go left,17895,1,1
side forehead,37030,1,1
forehead face,16702,1,1
shoulder left,36941,1,1
left arm,22938,1,1
arm sometimes,3157,1,1
sometimes wonder,38360,1,1
really need,33714,1,1
need occasionally,27746,1,1
occasionally stop,28929,1,1
back full,3906,1,1
full force,17053,1,1
force know,16679,1,1
effective slightly,13047,1,1
effective vioxx,13065,1,1
flash often,16328,1,1
often intense,29044,1,1
intense patch,21702,1,1
patch easy,30420,1,1
use tell,44402,1,1
tell wear,41457,1,1
wear one,45241,1,1
one longer,29217,1,1
sweat go,40405,1,1
lot easy,24482,1,1
easy head,12520,1,1
head constantly,18892,1,1
constantly fire,8061,1,1
maintained,24821,1,1
allow maintained,1708,1,1
maintained remission,24822,1,1
remission ulcerative,34945,1,1
colitis five,7218,1,1
experience flare,14630,1,1
ups short,44095,1,1
live exception,24063,1,1
exception year,14433,1,1
year complete,46934,1,1
complete remission,7544,1,1
test indicate,41644,1,1
indicate high,21114,1,1
cholesterol start,6682,1,1
soon approx,38418,1,1
approx one,3063,1,1
product cholesterol,32549,1,1
number dramatically,28763,1,1
dramatically decrease,11689,1,1
decrease physician,9891,1,1
physician attribute,31024,1,1
attribute lipitor,3600,1,1
lipitor well,23938,1,1
well diet,45563,1,1
exercise experience,14480,1,1
5days,165,1,1
decrease wheeze,9918,1,1
wheeze 5days,45791,1,1
5days wheeze,166,1,1
wheeze become,45794,1,1
become intermittent,4344,1,1
intermittent go,21771,1,1
away 2days,3733,1,1
2days take,98,1,1
prednisone symptom,31712,1,1
return bad,35418,1,1
bad originally,4077,1,1
originally though,29495,1,1
though another,42063,1,1
another course,2460,1,1
continuously eliminate,8200,1,1
eliminate pm,13289,1,1
symptom prevented,40662,1,1
experience minimal,14665,1,1
minimal monthly,26341,1,1
monthly bleeding,26841,1,1
really even,33683,1,1
mood irritable,26893,1,1
therapeudic,41717,1,1
allow drive,1688,1,1
drive build,11790,1,1
build therapeudic,5709,1,1
therapeudic level,41718,1,1
benefit may,4769,1,1
may slight,25294,1,1
slight lessening,37841,1,1
breakfast,5528,1,1
ago within,1420,1,1
day heartburn,9537,1,1
heartburn free,19163,1,1
free daily,16864,1,1
daily breakfast,9252,1,1
notice per,28664,1,1
per need,30697,1,1
need tell,27770,1,1
tell back,41415,1,1
back spine,3968,1,1
spine strong,38668,1,1
strong felt,39754,1,1
effect cry,12735,1,1
cry go,9006,1,1
help nothing,19371,1,1
rid vaginal,35547,1,1
rid hot,35530,1,1
flash even,16309,1,1
though estrogen,42077,1,1
estrogen dose,13987,1,1
low would,24617,1,1
well never,45640,1,1
never sex,27952,1,1
sex without,36776,1,1
without condom,46021,1,1
condom really,7840,1,1
know guess,22469,1,1
guess would,18490,1,1
would okay,46673,1,1
okay many,29112,1,1
people seem,30671,1,1
seem many,36316,1,1
many problem,25145,1,1
bactroban,4021,1,1
d,9237,1,1
incidental,20883,1,1
misdiagnosis,26492,1,1
clobex effective,7065,1,1
effective resolve,13038,1,1
resolve minor,35133,1,1
minor contact,26403,1,1
contact dermatitis,8101,1,1
dermatitis soothe,10413,1,1
soothe irritation,38442,1,1
irritation lessen,21948,1,1
lessen dermatitis,23190,1,1
dermatitis rather,10411,1,1
rather quickly,33481,1,1
quickly however,33188,1,1
use think,44405,1,1
think dermatitis,41938,1,1
dermatitis around,10404,1,1
mouth use,27107,1,1
continue six,8180,1,1
result rash,35310,1,1
rash exacerbate,33432,1,1
exacerbate heat,14374,1,1
heat diagnosis,19183,1,1
diagnosis mrsa,10593,1,1
mrsa make,27164,1,1
make clobex,24884,1,1
clobex due,7064,1,1
due steroid,12304,1,1
cream clear,8885,1,1
clear lesion,6923,1,1
lesion rather,23010,1,1
rather make,33475,1,1
use discontinue,44242,1,1
discontinue bactroban,11047,1,1
bactroban septra,4022,1,1
septra d,36518,1,1
d highly,9238,1,1
since need,37213,1,1
need clobex,27691,1,1
clobex use,7068,1,1
use alternate,44201,1,1
alternate method,2151,1,1
method incidental,25966,1,1
incidental dermatitis,20884,1,1
dermatitis may,10410,1,1
may occur,25287,1,1
occur choose,28948,1,1
choose traditional,6704,1,1
traditional medication,42965,1,1
recommend clobex,33869,1,1
clobex mild,7066,1,1
severe dermatitis,36664,1,1
dermatitis satisfy,10412,1,1
satisfy result,35874,1,1
result except,35271,1,1
except misdiagnosis,14421,1,1
misdiagnosis skin,26493,1,1
skin mrsa,37516,1,1
mrsa yet,27166,1,1
yet glad,47149,1,1
glad know,17752,1,1
know experience,22463,1,1
experience difference,14616,1,1
difference two,10752,1,1
two rash,43694,1,1
light spot,23642,1,1
spot lighten,38732,1,1
lighten slightly,23650,1,1
slightly darker,37861,1,1
darker spot,9387,1,1
really fade,33687,1,1
fade fact,15102,1,1
little darker,23995,1,1
major decrease,24835,1,1
major increase,24843,1,1
mobility everything,26567,1,1
else improve,13342,1,1
well energy,45573,1,1
ability everyday,279,1,1
everyday small,14313,1,1
small task,37991,1,1
task state,41331,1,1
mind sleeping,26315,1,1
sleeping always,37790,1,1
always active,2232,1,1
active person,877,1,1
person start,30921,1,1
enbrel could,13461,1,1
could jog,8603,1,1
jog ride,22149,1,1
ride horse,35551,1,1
horse bike,19866,1,1
bike play,4992,1,1
tennis etc,41546,1,1
keep effect,22250,1,1
effect menopause,12821,1,1
able curb,328,1,1
appetite lose,2979,1,1
weight effectively,45468,1,1
effectively 1st,13074,1,1
1st two,61,1,1
energetic initial,13549,1,1
initial stage,21463,1,1
benefit month,4773,1,1
month reduction,26782,1,1
reduction body,34258,1,1
fast weight,15297,1,1
lumigan work,24694,1,1
fairly well,15156,1,1
well regulate,45664,1,1
regulate eye,34515,1,1
pressure five,32034,1,1
year however,46992,1,1
however less,20058,1,1
less effectively,23062,1,1
effectively past,13089,1,1
year second,47068,1,1
second drug,36150,1,1
drug add,11868,1,1
add timilol,1036,1,1
timilol reduce,42608,1,1
reduce eye,34068,1,1
pressure lumigan,32049,1,1
lumigan take,24693,1,1
take p,41122,1,1
p timilol,29792,1,1
timilol take,42609,1,1
aside,3276,1,1
theodur,41712,1,1
control thought,8348,1,1
thought aside,42121,1,1
aside still,3277,1,1
still left,39289,1,1
left every,22940,1,1
every often,14281,1,1
often migraine,29048,1,1
medication theodur,25636,1,1
theodur seem,41713,1,1
headache inexpensive,18959,1,1
anxiety heart,2677,1,1
quinadine,33232,1,1
gluconate,17781,1,1
well conjunction,45550,1,1
conjunction quinadine,7907,1,1
quinadine gluconate,33233,1,1
gluconate help,17782,1,1
calm extra,5848,1,1
extra heart,14817,1,1
beat start,4281,1,1
still today,39341,1,1
today age,42709,1,1
age try,1351,1,1
try new,43508,1,1
drug always,11877,1,1
back tried,3986,1,1
tried true,43366,1,1
true one,43426,1,1
haul,18863,1,1
felt calmer,15710,1,1
calmer overall,5889,1,1
overall outlook,29705,1,1
outlook well,29631,1,1
well subtle,45689,1,1
subtle still,39942,1,1
still nerve,39300,1,1
nerve problem,27825,1,1
problem anxiety,32377,1,1
anxiety guess,2674,1,1
guess thats,18488,1,1
thats erase,41708,1,1
erase problem,13858,1,1
problem tolerate,32468,1,1
tolerate good,42765,1,1
long haul,24163,1,1
acne light,747,1,1
light predictable,23639,1,1
huge reduction,20150,1,1
number migraine,28773,1,1
headache experience,18948,1,1
experience start,14703,1,1
start med,39003,1,1
med get,25400,1,1
get twice,17611,1,1
think daily,41935,1,1
daily med,9281,1,1
med may,25407,1,1
even slightly,14142,1,1
reduce rate,34155,1,1
rate migraine,33448,1,1
migraine rare,26166,1,1
rare time,33409,1,1
get come,17445,1,1
sinus low,37281,1,1
low respiratory,24600,1,1
respiratory tract,35153,1,1
tract cough,42957,1,1
cough badly,8514,1,1
badly due,4120,1,1
due irritation,12277,1,1
irritation mucus,21949,1,1
mucus form,27330,1,1
form post,16754,1,1
drip throat,11784,1,1
throat phlegm,42216,1,1
phlegm yellow,30976,1,1
yellow colour,47131,1,1
heartburn occassionally,19170,1,1
occassionally acidic,28936,1,1
acidic taste,671,1,1
taste mouth,41343,1,1
mouth morning,27098,1,1
morning suspect,27005,1,1
suspect may,40374,1,1
may small,25295,1,1
amount reflux,2354,1,1
reflux still,34371,1,1
still occur,39305,1,1
hearburn,19114,1,1
hunge,20167,1,1
adverse acid,1208,1,1
reflex symptom,34337,1,1
full course,17046,1,1
get hearburn,17495,1,1
hearburn hunge,19115,1,1
hunge pain,20168,1,1
would abuse,46560,1,1
abuse acid,494,1,1
acid trigger,668,1,1
zetia,47211,1,1
ezetimibe,14984,1,1
simvastatin,37171,1,1
clinically,7055,1,1
observe cholesterol,28850,1,1
lower although,24619,1,1
although doctor,2172,1,1
doctor may,11318,1,1
may decide,25275,1,1
decide along,9777,1,1
along diet,1834,1,1
exercise vytorin,14511,1,1
vytorin right,44886,1,1
right remember,35581,1,1
evening doctor,14174,1,1
doctor prescribes,11335,1,1
prescribes vytorin,31934,1,1
vytorin without,44888,1,1
food �,16649,1,1
� choice,47298,1,1
choice vytorin,6644,1,1
vytorin tablet,44887,1,1
tablet contain,40844,1,1
contain two,8110,1,1
two medicine,43680,1,1
medicine zetia,25740,1,1
zetia �,47212,1,1
� ezetimibe,47301,1,1
ezetimibe zocor,14985,1,1
zocor simvastatin,47224,1,1
simvastatin vytorin,37172,1,1
vytorin clinically,44885,1,1
clinically prove,7056,1,1
prove lower,32826,1,1
cholesterol lipitor,6667,1,1
lipitor zocor,23940,1,1
zocor alone,47222,1,1
use serious,44372,1,1
serious acne,36523,1,1
problem start,32462,1,1
skin specialist,37560,1,1
specialist month,38589,1,1
saw good,35900,1,1
result acne,35247,1,1
acne start,799,1,1
month minimal,26751,1,1
minimal acne,26334,1,1
occasionally one,28927,1,1
two pop,43689,1,1
pop work,31453,1,1
well dry,45567,1,1
dry oil,12183,1,1
oil gland,29073,1,1
gland face,17758,1,1
face less,15017,1,1
oily help,29088,1,1
help fix,19305,1,1
fix scar,16265,1,1
scar well,36026,1,1
pharmacist,30953,1,1
awhile prevent,3836,1,1
prevent cold,32151,1,1
start frequent,38978,1,1
frequent chest,16942,1,1
well fainting,45583,1,1
spell find,38626,1,1
find er,16014,1,1
er physician,13849,1,1
physician pharmacist,31033,1,1
pharmacist never,30954,1,1
never prescribe,27938,1,1
prescribe dosage,31857,1,1
dosage twice,11496,1,1
twice prescribe,43637,1,1
prescribe per,31886,1,1
one acyclovir,29155,1,1
acyclovir length,997,1,1
time either,42415,1,1
either tell,13193,1,1
tell reason,41446,1,1
reason fainting,33764,1,1
spell chest,38625,1,1
increase kidney,21006,1,1
kidney renal,22369,1,1
renal damage,34975,1,1
damage yeast,9336,1,1
infection recently,21256,1,1
recently series,33840,1,1
series fungal,36520,1,1
day simply,9645,1,1
simply put,37160,1,1
put forget,33078,1,1
forget week,16724,1,1
without week,46133,1,1
week simply,45392,1,1
simply get,37158,1,1
get easy,17470,1,1
poreless,31478,1,1
permanently cure,30872,1,1
cure cystic,9048,1,1
acne temporarily,803,1,1
temporarily eliminate,41495,1,1
eliminate blackhead,13252,1,1
blackhead smooth,5088,1,1
appear poreless,2933,1,1
mind something,26317,1,1
something decrease,38286,1,1
decrease m,9875,1,1
m progression,24750,1,1
productiveness,32610,1,1
focusing,16549,1,1
finishing,16123,1,1
effect general,12779,1,1
mild increase,26232,1,1
energy productiveness,13613,1,1
productiveness easy,32611,1,1
easy time,12553,1,1
stay task,39137,1,1
task focusing,41318,1,1
focusing direct,16550,1,1
direct energy,10899,1,1
energy finishing,13585,1,1
finishing task,16124,1,1
task motivated,41325,1,1
control bipolar,8245,1,1
bipolar condition,5016,1,1
condition except,7788,1,1
except time,14429,1,1
though try,42107,1,1
almost ssri,1789,1,1
ssri year,38817,1,1
estogen,13972,1,1
canncer,5956,1,1
remision,34936,1,1
taxol,41355,1,1
since tumor,37232,1,1
tumor estogen,43571,1,1
estogen receptor,13973,1,1
receptor positive,33847,1,1
positive treatment,31515,1,1
result remain,35314,1,1
remain canncer,34861,1,1
canncer cell,5957,1,1
cell remision,6323,1,1
remision side,34937,1,1
mild enough,26218,1,1
enough regular,13708,1,1
activity interfere,910,1,1
interfere part,21762,1,1
part well,30302,1,1
well alternative,45529,1,1
alternative taxol,2161,1,1
taxol chemotherapy,41356,1,1
chemotherapy severe,6541,1,1
coldsore,7208,1,1
dose long,11553,1,1
long pre,24184,1,1
pre sore,31685,1,1
sore tingling,38482,1,1
tingling stage,42625,1,1
stage continue,38883,1,1
continue second,8178,1,1
second dose,36149,1,1
dose cold,11517,1,1
really appear,33661,1,1
appear coldsore,2910,1,1
coldsore already,7209,1,1
already start,1919,1,1
valtrex blister,44579,1,1
large would,22632,1,1
away half,3768,1,1
half time,18651,1,1
og,29063,1,1
well get,45593,1,1
rid og,35535,1,1
og skin,29064,1,1
incl,20891,1,1
pericarditis,30764,1,1
pleural,31330,1,1
effusion,13161,1,1
breathlessness,5626,1,1
alive flare,1555,1,1
ups incl,44089,1,1
incl pericarditis,20892,1,1
pericarditis pleural,30765,1,1
pleural effusion,31331,1,1
effusion ie,13162,1,1
ie inflammation,20415,1,1
inflammation lining,21336,1,1
lining around,23906,1,1
around heart,3184,1,1
heart lung,19136,1,1
lung �,24721,1,1
� involve,47302,1,1
involve lot,21844,1,1
lot fluid,24486,1,1
fluid space,16445,1,1
space lead,38536,1,1
lead heart,22841,1,1
failure breathlessness,15129,1,1
breathlessness nice,5627,1,1
nice less,28067,1,1
less live,23105,1,1
life apart,23459,1,1
apart start,2866,1,1
start flare,38975,1,1
flare spending,16288,1,1
spending hour,38640,1,1
hour research,19968,1,1
research online,35085,1,1
subsequent,39877,1,1
infection subsequent,21272,1,1
subsequent pain,39878,1,1
lessen though,23211,1,1
though disappear,42074,1,1
advized,1230,1,1
wore,46208,1,1
benefit considerable,4699,1,1
considerable oxycontin,7960,1,1
oxycontin reduce,29785,1,1
beginning advized,4530,1,1
advized drug,1231,1,1
drug previous,12062,1,1
one wore,29277,1,1
wore work,46209,1,1
work pain,46355,1,1
however always,20024,1,1
always go,2242,1,1
away therefore,3810,1,1
therefore relieve,41789,1,1
relieve make,34796,1,1
worthy,46554,1,1
negatively,27807,1,1
lexapro immediately,23402,1,1
reduce propensity,34151,1,1
propensity negative,32737,1,1
thought e,42133,1,1
g worthy,17200,1,1
worthy everything,46555,1,1
everything suck,14339,1,1
suck almost,39978,1,1
almost think,1793,1,1
think negatively,41977,1,1
negatively become,27808,1,1
become impossible,4337,1,1
impossible consequently,20654,1,1
consequently panic,7929,1,1
depression diminish,10245,1,1
greatly drug,18374,1,1
overall less,29700,1,1
tired previously,42674,1,1
previously feel,32251,1,1
time consequently,42396,1,1
consequently sleep,7930,1,1
period predictable,30823,1,1
period pm,30822,1,1
indidgestion,21122,1,1
rich,35517,1,1
hallucinate,18658,1,1
well least,45617,1,1
hour unless,19986,1,1
unless something,43984,1,1
something wake,38310,1,1
wake hiatus,44951,1,1
hiatus hernia,19537,1,1
hernia last,19502,1,1
last endoscopy,22664,1,1
endoscopy major,13531,1,1
major digestion,24839,1,1
digestion problem,10834,1,1
go slight,17962,1,1
slight acid,37827,1,1
reflux indidgestion,34360,1,1
indidgestion eating,21123,1,1
eating big,12615,1,1
big heavy,4978,1,1
heavy rich,19199,1,1
rich meal,35518,1,1
meal otherwise,25341,1,1
otherwise excellent,29565,1,1
excellent happy,14405,1,1
effect miss,12826,1,1
try come,43463,1,1
come dizzy,7355,1,1
dizzy sick,11237,1,1
sick hallucinate,37007,1,1
hallucinate etc,18659,1,1
etc without,14033,1,1
without fail,46040,1,1
fail bed,15112,1,1
bed every,4411,1,1
well patient,45651,1,1
patient decrease,30472,1,1
breakdown,5526,1,1
stabilize anxiety,38838,1,1
anxiety difficult,2647,1,1
difficult relationship,10811,1,1
relationship grief,34570,1,1
grief loss,18392,1,1
loss opportunity,24447,1,1
opportunity mother,29375,1,1
mother allow,27032,1,1
keep working,22312,1,1
working relationship,46439,1,1
relationship without,34575,1,1
major breakdown,24831,1,1
breakdown prevent,5527,1,1
prevent develop,32153,1,1
attack develop,3493,1,1
develop major,10518,1,1
positive increase,31502,1,1
concentration anxiety,7722,1,1
normal good,28390,1,1
really noticeable,33719,1,1
noticeable quite,28704,1,1
quickly benefit,33174,1,1
able normal,373,1,1
5g,167,1,1
10g,13,1,1
outward,29643,1,1
moderate improvement,26592,1,1
improvement note,20798,1,1
note 5g,28547,1,1
5g dosage,168,1,1
dosage improvement,11465,1,1
improvement much,20796,1,1
much noticeable,27265,1,1
noticeable 10g,28694,1,1
10g day,14,1,1
less confusion,23042,1,1
confusion awareness,7876,1,1
awareness social,3731,1,1
social surroundings,38204,1,1
surroundings outward,40366,1,1
outward positive,29644,1,1
positive attitude,31492,1,1
dont think,11393,1,1
think felt,41948,1,1
felt anything,15704,1,1
change really,6446,1,1
really although,33657,1,1
although smoke,2207,1,1
smoke lot,38038,1,1
lot less,24495,1,1
less good,23077,1,1
away craving,3749,1,1
drug dissolve,11927,1,1
dissolve clot,11179,1,1
clot time,7114,1,1
swell mainly,40447,1,1
mainly subside,24790,1,1
subside unless,39911,1,1
unless foot,43977,1,1
foot stand,16672,1,1
stand one,38903,1,1
one place,29238,1,1
place long,31239,1,1
still headache,39277,1,1
headache many,18965,1,1
many severe,25147,1,1
often able,29031,1,1
hour uninterrupted,19985,1,1
eczyma,12643,1,1
case eczyma,6121,1,1
eczyma clear,12644,1,1
start zyrtec,39078,1,1
since dose,37189,1,1
increase slowly,21048,1,1
start realize,39029,1,1
realize react,33652,1,1
react severly,33518,1,1
severly daily,36765,1,1
daily emotional,9261,1,1
emotional change,13387,1,1
change upset,6459,1,1
upset something,44101,1,1
something experience,38290,1,1
sever mood,36606,1,1
swing normally,40498,1,1
normally would,28490,1,1
would frustration,46624,1,1
frustration anger,17031,1,1
anger longer,2399,1,1
longer control,24220,1,1
control general,8278,1,1
sense able,36455,1,1
handle negative,18717,1,1
emotion without,13382,1,1
apart family,2865,1,1
notice big,28625,1,1
big difference,4975,1,1
rotater,35711,1,1
aching,642,1,1
rotater cuff,35712,1,1
cuff injury,9028,1,1
injury three,21528,1,1
ago give,1406,1,1
give mobic,17708,1,1
mobic pain,26561,1,1
pain aching,29831,1,1
aching interfere,643,1,1
sleep mobic,37703,1,1
mobic decrease,26560,1,1
considerably pain,7987,1,1
discomfort arthritis,11013,1,1
arthritis tell,3252,1,1
tell arthritic,41413,1,1
arthritic change,3227,1,1
consult,8084,1,1
result minimal,35296,1,1
effect suffer,12899,1,1
finally consult,15949,1,1
consult neurologist,8085,1,1
neurologist imitrex,27870,1,1
imitrex life,20489,1,1
changing longer,6468,1,1
longer worry,24267,1,1
worry get,46478,1,1
migraine turn,26183,1,1
turn reduce,43597,1,1
number get,28767,1,1
fastly,15310,1,1
fastly recover,15311,1,1
recover virus,33911,1,1
virus felt,44773,1,1
well second,45674,1,1
second administration,36145,1,1
administration drug,1175,1,1
benefit remarkable,4813,1,1
remarkable fast,34890,1,1
fast take,15293,1,1
mirapex patient,26475,1,1
patient get,30491,1,1
little sleep,24046,1,1
sleep consequently,37624,1,1
consequently irritable,7928,1,1
irritable take,21907,1,1
mirapex restless,26476,1,1
leg calm,22952,1,1
calm immediately,5853,1,1
immediately patient,20554,1,1
patient go,30492,1,1
go movie,17918,1,1
movie trip,27148,1,1
trip car,43393,1,1
car sleep,6013,1,1
sleep reasonable,37730,1,1
reasonable amount,33774,1,1
amount comfort,2337,1,1
comfort restless,7413,1,1
leg totally,22986,1,1
totally cured,42910,1,1
cured manageable,9084,1,1
manageable even,25057,1,1
much manageable,27254,1,1
crave reduce,8840,1,1
reduce smoke,34176,1,1
day second,9637,1,1
second week,36171,1,1
find think,16068,1,1
think smoke,41990,1,1
get right,17571,1,1
right eat,35571,1,1
eat time,12606,1,1
still craving,39243,1,1
craving time,8861,1,1
time craving,42400,1,1
craving manageable,8854,1,1
synergistic,40766,1,1
reduce occurrence,34134,1,1
occurrence papule,28990,1,1
pustule increase,33061,1,1
increase healing,20999,1,1
generally result,17364,1,1
result clearer,35257,1,1
skin combination,37444,1,1
combination topical,7310,1,1
topical benzoyl,42856,1,1
benzoyl peroxide,4906,1,1
peroxide oral,30877,1,1
oral doxycycline,29414,1,1
doxycycline seem,11636,1,1
seem synergistic,36345,1,1
synergistic reduce,40767,1,1
reactivity,33558,1,1
decrease reaction,9893,1,1
common allergen,7445,1,1
allergen hay,1572,1,1
fever every,15850,1,1
spring zyrtec,38783,1,1
help common,19261,1,1
common symptom,7457,1,1
symptom hay,40619,1,1
fever help,15854,1,1
decrease sneezing,9904,1,1
nose decreased,28506,1,1
decreased reactivity,9935,1,1
reactivity allergen,33559,1,1
allergen experience,1571,1,1
experience spring,14702,1,1
spring season,38780,1,1
season allergy,36121,1,1
allergy bad,1590,1,1
refridgerated,34398,1,1
portable,31479,1,1
progressive,32668,1,1
ms,27167,1,1
aim,1468,1,1
storage drug,39599,1,1
may seem,25292,1,1
important betaseron,20633,1,1
betaseron refridgerated,4956,1,1
refridgerated make,34399,1,1
make highly,24930,1,1
highly portable,19626,1,1
portable main,31480,1,1
benefit lesion,4762,1,1
lesion originally,23009,1,1
originally diagnose,29490,1,1
diagnose worsen,10585,1,1
worsen time,46523,1,1
time addition,42371,1,1
addition new,1092,1,1
new lesion,27986,1,1
lesion since,23014,1,1
begin betaseron,4472,1,1
betaseron help,4955,1,1
slow progress,37913,1,1
progress secondary,32656,1,1
secondary progressive,36177,1,1
progressive relapse,32669,1,1
remit believe,34947,1,1
believe decrease,4584,1,1
amount relapse,2355,1,1
relapse residual,34543,1,1
residual ms,35096,1,1
ms aim,27168,1,1
isnt,21967,1,1
benefit sleep,4826,1,1
get anxiety,17419,1,1
anxiety cant,2635,1,1
cant always,5976,1,1
always sleep,2258,1,1
sleep offer,37713,1,1
offer valium,29024,1,1
valium well,44572,1,1
well bad,45538,1,1
wonderful stressful,46193,1,1
stressful time,39711,1,1
time isnt,42462,1,1
isnt yet,21968,1,1
yet body,47146,1,1
go panic,17927,1,1
assertive,3348,1,1
bmi start,5281,1,1
start meridia,39006,1,1
meridia monhts,25912,1,1
monhts bmi,26665,1,1
bmi lose,5279,1,1
pound increase,31628,1,1
confidence another,7845,1,1
alertness confidence,1543,1,1
confidence low,7853,1,1
pressure quite,32072,1,1
quite passive,33276,1,1
passive medication,30386,1,1
felt increase,15760,1,1
energy heart,13592,1,1
rate behaviour,33441,1,1
behaviour change,4562,1,1
become assertive,4302,1,1
assertive impatient,3349,1,1
somo,38389,1,1
coudl,8508,1,1
levevls,23372,1,1
contrast,8220,1,1
bound,5420,1,1
take tamiflu,41208,1,1
tamiflu soon,41283,1,1
soon know,38426,1,1
know contract,22454,1,1
flu stop,16422,1,1
stop flu,39489,1,1
flu track,16425,1,1
track get,42950,1,1
get seriously,17577,1,1
seriously ill,36532,1,1
ill recovery,20443,1,1
recovery time,33923,1,1
time quite,42523,1,1
quite short,33281,1,1
short somo,36898,1,1
somo friend,38390,1,1
also contract,1966,1,1
flu tamiflu,16424,1,1
tamiflu two,41284,1,1
ill several,20444,1,1
week coudl,45280,1,1
coudl go,8509,1,1
work general,46300,1,1
general energy,17311,1,1
energy levevls,13601,1,1
levevls low,23373,1,1
low month,24592,1,1
month contrast,26701,1,1
contrast never,8221,1,1
really bed,33663,1,1
bed bound,4405,1,1
bound one,5421,1,1
week experience,45303,1,1
continence,8120,1,1
improve vaginal,20751,1,1
vaginal lubrication,44545,1,1
lubrication decreased,24673,1,1
decreased sensitivity,9937,1,1
sensitivity improve,36489,1,1
improve urinary,20749,1,1
urinary continence,44147,1,1
continence improved,8121,1,1
improved urethral,20765,1,1
urethral tone,44123,1,1
encountering,13470,1,1
rememeber,34924,1,1
none last,28297,1,1
last encountering,22663,1,1
encountering depression,13471,1,1
ago doctor,1402,1,1
round green,35727,1,1
green pill,18388,1,1
pill whose,31166,1,1
whose name,45877,1,1
name rememeber,27447,1,1
rememeber work,34925,1,1
well help,45601,1,1
depression sort,10344,1,1
life recent,23548,1,1
recent suicidal,33831,1,1
suicidal feeling,40113,1,1
feeling regard,15654,1,1
regard reactive,34420,1,1
reactive depression,33556,1,1
depression lose,10294,1,1
job gp,22124,1,1
gp prescribe,18227,1,1
prescribe citalopram,31847,1,1
citalopram want,6794,1,1
something numb,38301,1,1
numb thing,28751,1,1
well tablet,45694,1,1
tablet nearly,40860,1,1
nearly send,27632,1,1
send crazy,36431,1,1
reaction stop,33546,1,1
stop almost,39443,1,1
seem begin,36263,1,1
sinus stop,37286,1,1
ensue,13729,1,1
time tolerance,42571,1,1
tolerance develop,42750,1,1
develop depression,10510,1,1
depression grogginess,10272,1,1
grogginess ensue,18400,1,1
pscychiatrist,32920,1,1
failed,15122,1,1
generally lamictal,17360,1,1
lamictal help,22580,1,1
depression intense,10282,1,1
intense sadness,21706,1,1
sadness hopelessness,35822,1,1
hopelessness anxiety,19807,1,1
anxiety obsession,2701,1,1
obsession excessive,28861,1,1
excessive worrying,14455,1,1
worrying mood,46507,1,1
mood difference,26868,1,1
difference noticeable,10742,1,1
noticeable pscychiatrist,28703,1,1
pscychiatrist prescribe,32921,1,1
prescribe lamictal,31871,1,1
lamictal mood,22582,1,1
stabilizer lamictal,38853,1,1
lamictal often,22583,1,1
treat resistant,43100,1,1
depression consider,10235,1,1
consider previously,7941,1,1
take seven,41179,1,1
seven different,36593,1,1
medication failed,25516,1,1
failed attempt,15123,1,1
attempt treat,3563,1,1
depression appropriate,10219,1,1
appropriate choice,3047,1,1
disappointed,10983,1,1
none disappointed,28280,1,1
disappointed time,10984,1,1
say go,35942,1,1
go care,17826,1,1
problem energy,32403,1,1
burn relieve,5738,1,1
relieve within,34821,1,1
within forty,45969,1,1
hour continue,19926,1,1
continue length,8156,1,1
treatment satisfied,43270,1,1
satisfied result,35871,1,1
happier,18763,1,1
peppier,30685,1,1
happier sleep,18764,1,1
well lexapro,45620,1,1
help energy,19292,1,1
anxiety trazadone,2742,1,1
trazadone sleep,43038,1,1
sleep together,37763,1,1
together work,42737,1,1
well thought,45698,1,1
thought peppier,42147,1,1
peppier day,30686,1,1
day slept,9652,1,1
say excellent,35932,1,1
excellent combination,14404,1,1
